Designator,Comment,Footprint,Center-X(mm),Center-Y(mm),Rotation,Layer,LCSC

"C1","10uF/25V/10%/X5R","C-0805","9.6","6.7","90","Top","C15850"
"C2","100nF/50V/5%/X7R","C-0603","11.2","6.7","90","Top","C14663"
"C3","100nF/50V/5%/X7R","C-0603","23.2","6.7","270","Top","C14663"
"C4","22uF/25V/20%/X5R","C-0805","19.8","6.7","270","Top","C45783"
"C5","22uF/25V/20%/X5R","C-0805","21.6","6.7","270","Top","C45783"
"C6","22uF/25V/20%/X5R","C-0805","17.9","6.7","270","Top","C45783"
"C7","22pF/50V/5%/NP0","C-0603","16.001","12.4","0","Top","C1653"
"D1","LED R","LED-0603 RED","10.8","9.5","180","Top","C2286"
"D2","LED R","LED-0603 RED","22.4","8.8","0","Top","C2286"
"R1","1k 1%","R-0603","8.4","10.6","0","Top","C21190"
"R2","200k 5%","R-0603","16.001","11.1","0","Top","C25811"
"R3","30k 1%","R-0603","13.401","9.8","180","Top","C22967"
"R5","30k 1%","R-0603","16.001","9.8","0","Top","C25808"
"R6","0R","R-0603-SB","18.601","9.8","0","Top","C21189"
"R7","200k 5%","R-0603","10.2","11.6","270","Top","C25811"
"R8","100k 1%","R-0603","11.5","11.6","270","Top","C25803"
"R9","1k 1%","R-0603","22.4","10.1","0","Top","C21190"
"U1","PTPSM863257RDXR","RDX0007A-MFG","14.5","6.468","0","Top","C19190416"
